crate,file,modified,deps_count,features_count,target_id,profile_id
foldhash,lib-foldhash.json,2026-01-25 19:02:22,0,2,18077926938045032029,5347358027863023418
reqwest,lib-reqwest.json,2026-01-25 18:49:43,27,122,16585426341985349207,8276155916380437441
zerofrom-derive,lib-zerofrom_derive.json,2026-01-25 18:49:39,4,2,1753304412232254384,3033921117576893
signal-hook,lib-signal_hook.json,2026-01-25 18:49:38,3,34,831277710805360288,8276155916380437441
paste,run-build-script-build-script-build.json,2026-01-25 18:49:39,1,0,0,0
tinystr,lib-tinystr.json,2026-01-25 18:49:42,2,11,161691779326313357,8276155916380437441
scopeguard,lib-scopeguard.json,2026-01-25 19:02:22,0,2,3556356971060988614,5347358027863023418
system-configuration-sys,lib-system_configuration_sys.json,2026-01-25 18:31:56,3,2,8517095135847510326,8276155916380437441
signal-hook-mio,lib-signal_hook_mio.json,2026-01-25 19:02:23,3,27,12462439415559432985,5347358027863023418
native-tls,lib-native_tls.json,2026-01-25 19:02:23,5,2,17032036260282835112,5347358027863023418
security-framework-sys,lib-security_framework_sys.json,2026-01-25 18:36:07,2,62,16383770981727416183,5613853739888966420
tokio-util,lib-tokio_util.json,2026-01-25 18:36:09,5,26,17993092506817503379,5925448066594685647
encoding_rs,lib-encoding_rs.json,2026-01-25 18:31:55,1,20,17616512236202378241,8276155916380437441
signal-hook-registry,lib-signal_hook_registry.json,2026-01-25 19:02:22,2,2,17877812014956321412,10956968541788197986
percent-encoding,lib-percent_encoding.json,2026-01-25 18:31:54,0,27,6219969305134610909,8276155916380437441
url,lib-url.json,2026-01-25 18:49:42,3,18,7686100221094031937,8276155916380437441
serde,lib-serde.json,2026-01-25 17:08:58,3,44,11327258112168116673,5347358027863023418
paste,lib-paste.json,2026-01-25 18:49:39,1,2,13051495773103412369,3033921117576893
native-tls,run-build-script-build-script-build.json,2026-01-25 18:31:55,1,0,0,0
unicode-segmentation,lib-unicode_segmentation.json,2026-01-25 19:02:22,0,2,14369684853076716314,5347358027863023418
futures-util,lib-futures_util.json,2026-01-25 18:36:08,7,54,1788798584831431502,17669703692130904899
base64,lib-base64.json,2026-01-25 18:31:54,0,27,13060062996227388079,8276155916380437441
idna,lib-idna.json,2026-01-25 18:49:42,3,33,2602963282308965300,8276155916380437441
reqwest,lib-reqwest.json,2026-01-25 19:02:25,27,122,16585426341985349207,5347358027863023418
hyper-tls,lib-hyper_tls.json,2026-01-25 19:02:23,5,2,11005878871305885301,5347358027863023418
tempfile,lib-tempfile.json,2026-01-25 18:49:38,4,24,44311651032485388,8276155916380437441
parking_lot_core,build-script-build-script-build.json,2026-01-25 18:49:37,0,2,5408242616063297496,3033921117576893
ratatui,lib-ratatui.json,2026-01-25 18:49:43,12,43,16559651771764952872,18057860990705883386
tinystr,lib-tinystr.json,2026-01-25 18:36:07,2,11,161691779326313357,5347358027863023418
tracing-core,lib-tracing_core.json,2026-01-25 18:31:53,1,20,14276081467424924844,14260724117731903638
unicode-width,lib-unicode_width.json,2026-01-25 18:49:38,0,18,16876147670056848225,8276155916380437441
yoke-derive,lib-yoke_derive.json,2026-01-25 18:49:39,4,2,1654536213780382264,3033921117576893
tokio-native-tls,lib-tokio_native_tls.json,2026-01-25 18:31:56,2,2,1892474590604224423,8276155916380437441
hashbrown,lib-hashbrown.json,2026-01-25 18:31:53,0,2,13796197676120832388,8276155916380437441
icu_normalizer_data,run-build-script-build-script-build.json,2026-01-25 18:31:54,1,0,0,0
zmij,lib-zmij.json,2026-01-25 18:31:54,1,2,16603507647234574737,8276155916380437441
reqwest,lib-reqwest.json,2026-01-25 22:08:12,27,122,16585426341985349207,8276155916380437441
cfg-if,lib-cfg_if.json,2026-01-25 18:31:53,0,2,13840298032947503755,8276155916380437441
signal-hook-mio,lib-signal_hook_mio.json,2026-01-25 22:08:11,3,27,12462439415559432985,8276155916380437441
serde_urlencoded,lib-serde_urlencoded.json,2026-01-25 19:02:23,4,2,13961612944102757082,5347358027863023418
icu_properties,lib-icu_properties.json,2026-01-25 18:49:42,6,17,12882061015678277883,8276155916380437441
synstructure,lib-synstructure.json,2026-01-25 18:31:55,3,25,14291004384071580589,3033921117576893
heck,lib-heck.json,2026-01-25 18:49:38,0,2,17886154901722686619,3033921117576893
quote,lib-quote.json,2026-01-25 18:31:54,2,25,8313845041260779044,3033921117576893
itertools,lib-itertools.json,2026-01-25 18:49:38,1,35,9541170365560449339,8276155916380437441
tokio,lib-tokio.json,2026-01-25 18:31:56,5,86,9605832425414080464,11288557065332182770
security-framework,lib-security_framework.json,2026-01-25 18:36:08,5,62,2557073247586648411,6566930003883530941
signal-hook,build-script-build-script-build.json,2026-01-25 18:49:37,0,34,17883862002600103897,3033921117576893
serde,lib-serde.json,2026-01-25 19:02:23,3,44,11327258112168116673,5347358027863023418
paste,build-script-build-script-build.json,2026-01-25 18:49:38,0,2,17883862002600103897,3033921117576893
zerofrom,lib-zerofrom.json,2026-01-25 18:31:56,1,10,723370850876025358,8276155916380437441
static_assertions,lib-static_assertions.json,2026-01-25 19:02:23,0,2,4712552111018528150,5347358027863023418
time-core,lib-time_core.json,2026-01-25 22:08:11,0,2,10582047573009931897,10824470071621119109
want,lib-want.json,2026-01-25 18:36:07,1,2,6053490367063310035,5347358027863023418
http-body,lib-http_body.json,2026-01-25 18:31:54,3,2,1208890678314400944,8276155916380437441
lru,lib-lru.json,2026-01-25 18:49:38,1,24,4146745191327733199,8276155916380437441
getrandom,lib-getrandom.json,2026-01-25 18:36:07,3,2,11669924403970522481,15527459769631762164
zerofrom-derive,lib-zerofrom_derive.json,2026-01-25 18:31:56,4,2,1753304412232254384,3033921117576893
yoke,lib-yoke.json,2026-01-25 18:31:57,3,22,11250006364125496299,8276155916380437441
icu_collections,lib-icu_collections.json,2026-01-25 19:02:23,5,2,8741949119514994751,5347358027863023418
lock_api,lib-lock_api.json,2026-01-25 18:49:37,1,27,16157403318809843794,8276155916380437441
rustls-pemfile,lib-rustls_pemfile.json,2026-01-25 18:31:54,1,2,11563635400654898068,8276155916380437441
mime,lib-mime.json,2026-01-25 18:36:08,0,2,2764086469773243511,5347358027863023418
hyper,lib-hyper.json,2026-01-25 18:31:57,16,63,5299595107718448861,8276155916380437441
errno,lib-errno.json,2026-01-25 18:36:07,1,7,17743456753391690785,5471719994260196321
icu_normalizer_data,lib-icu_normalizer_data.json,2026-01-25 18:31:54,1,2,17980939898269686983,15962471266562725207
parking_lot,lib-parking_lot.json,2026-01-25 18:49:38,2,11,9887373948397848517,8276155916380437441
hyper-tls,lib-hyper_tls.json,2026-01-25 18:31:57,5,2,11005878871305885301,8276155916380437441
errno,lib-errno.json,2026-01-25 18:49:37,1,18,17743456753391690785,8919574114734409902
mio,lib-mio.json,2026-01-25 18:49:38,2,46,15795524848372194723,8276155916380437441
lru,lib-lru.json,2026-01-25 19:02:23,1,24,4146745191327733199,5347358027863023418
http,lib-http.json,2026-01-25 18:31:53,3,2,11009710222111042559,8276155916380437441
icu_properties,lib-icu_properties.json,2026-01-25 18:36:08,6,17,12882061015678277883,5347358027863023418
serde,lib-serde.json,2026-01-25 18:31:57,3,44,11327258112168116673,8276155916380437441
proc-macro2,run-build-script-build-script-build.json,2026-01-25 18:31:54,1,0,0,0
reqwest,lib-reqwest.json,2026-01-25 18:36:11,27,122,16585426341985349207,5347358027863023418
base64,lib-base64.json,2026-01-25 18:36:08,0,27,13060062996227388079,5347358027863023418
yoke-derive,lib-yoke_derive.json,2026-01-25 18:31:56,4,2,1654536213780382264,3033921117576893
futures-task,lib-futures_task.json,2026-01-25 18:36:06,0,16,13518091470260541623,17669703692130904899
bitflags,lib-bitflags.json,2026-01-25 18:36:06,0,7,7691312148208718491,5347358027863023418
zerotrie,lib-zerotrie.json,2026-01-25 18:36:07,3,20,12445875338185814621,5347358027863023418
url,lib-url.json,2026-01-25 18:31:58,3,18,7686100221094031937,8276155916380437441
yoke,lib-yoke.json,2026-01-25 18:49:40,3,22,11250006364125496299,8276155916380437441
hyper-tls,lib-hyper_tls.json,2026-01-25 18:49:38,5,2,11005878871305885301,8276155916380437441
mio,lib-mio.json,2026-01-25 18:36:07,1,28,5157902839847266895,17981007958115498705
serde,run-build-script-build-script-build.json,2026-01-25 17:08:56,1,0,0,0
rust_ui_poc,bin-rust_ui_poc.json,2026-01-25 18:12:01,2,2,3179107961083900654,6675295047989516842
allocator-api2,lib-allocator_api2.json,2026-01-25 19:02:22,0,9,5388200169723499962,8526714817676984181
