depth,candidate_id,objective_0,objective_1,objective_2,objective_3
2,29,0.8682785714285715,0,1,0.99532
2,30,0.8682785714285715,0,1,0.99532
2,31,0.8682785714285715,0,1,0.99532
2,32,0.86275,0,1,0.99676
2,33,0.86275,0,1,0.99676
2,34,0.86275,0,1,0.99676
2,35,0.86275,0,1,0.99676
2,36,0.86275,0,1,0.99676
2,37,0.86275,0,1,0.99676
2,38,0.86275,0,1,0.99676
2,39,0.86275,0,1,0.99676
2,40,0.86275,0,1,0.99676
2,41,0.8472999999999999,0,1,0.996
2,42,0.8472999999999999,0,1,0.996
2,43,0.8472999999999999,0,1,0.996
2,44,0.8472999999999999,0,1,0.996
2,45,0.8472999999999999,0,1,0.996
2,46,0.81775,0,1,0.99668
2,47,0.81775,0,1,0.99668
2,48,0.8773,0,0.8113846219573523,0.99608
2,49,0.7732,0,1,0.99736
2,50,0.8773,0,0.7500910389474392,0.99608
2,51,0.8773,0,0.7480839528016502,0.99608
2,52,0.9111357142857143,0,0.6739618739783071,0.99548
2,53,0.8682785714285715,0,0.7285326937675758,0.99532
2,54,0.81775,0,0.8193840093043799,0.99668
2,55,0.8773,0,0.6791093464483728,0.99608
2,56,0.8773,0,0.6563714584312142,0.99608
2,57,0.8773,0,0.628607396100978,0.99608
2,58,0.8773,0,0.6234824311528158,0.99608
2,59,0.9111357142857143,0,0.5303474705580034,0.99548
2,60,0.8897071428571428,0,0.5375420868214857,0.9954
2,61,0.8773,0,0.4481933960144078,0.99608
2,62,0.8472999999999999,0,0.4904971093692043,0.996
2,63,0.8773,0,0.3826328260621711,0.99608
2,64,0.81775,0,0.4945536729941984,0.99668
2,65,0.7732,0,0.5804426399342884,0.99736
2,66,0.9111357142857143,0,0.2998733205504298,0.99548
2,67,0.8773,0,0.3206963107385916,0.99608
2,68,0.8472999999999999,0,0.35848772428634856,0.996
2,69,0.8773,0,0.28696363637333455,0.99608
2,70,0.8472999999999999,0,0.23258523924629404,0.996
2,71,0.81775,0,0.2711986974055265,0.99668
2,72,0.8773,0,0.14304946207799984,0.99608
2,73,0.86275,0,0.1462702465123077,0.99676
2,74,0.8897071428571428,0,0.07402015718621002,0.9954
2,75,0.81775,0,0.1394369452529871,0.99668
2,76,0.8773,0,0.011328744204239904,0.99608
2,77,0.8472999999999999,0,0.014961373935713063,0.996
3,0,0.9321142857142857,0.05430341511964798,1,0.99488
3,1,0.9321142857142857,0.018764784559607506,1,0.99488
3,2,0.9321142857142857,0.0748211145401001,1,0.99488
3,3,0.9321142857142857,0.07063478231430054,1,0.99488
3,4,0.9321142857142857,0.04885314032435417,1,0.99488
3,5,0.9160428571428572,0.0733039528131485,1,0.9948
3,6,0.9111357142857143,0.06480549275875092,1,0.99548
3,7,0.9111357142857143,0.04819450527429581,1,0.99548
