variant,depth,corr_matrix_flat,mean_nn_dist,spacing,pareto_front_size,collapse_flag
Base,60,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,61,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,62,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,63,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,64,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,65,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,66,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,67,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,68,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,69,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,70,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,71,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,72,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,73,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,74,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,75,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,76,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,77,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,78,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,79,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,80,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,81,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,82,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,83,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699286,1.196411680,10,false
Base,84,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
Base,85,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
Base,86,"1.000000|-0.880315|0.000000|0.964181|-0.880315|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699147,1.196412061,10,false
Base,87,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
Base,88,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
Base,89,"1.000000|-0.880316|0.000000|0.964181|-0.880316|1.000000|0.000000|-0.966752|0.000000|0.000000|1.000000|0.000000|0.964181|-0.966752|0.000000|1.000000",0.509699315,1.196412206,10,false
