depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth
38,0.119999997,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
39,0.109999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
40,0.100000001,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
41,0.090000004,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
42,0.079999998,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
43,0.070000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
44,0.059999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
45,0.050000001,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
46,0.039999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
47,0.029999999,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
48,0.020000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
49,0.010000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
50,0.000000000,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
51,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
52,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
53,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
54,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
55,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
56,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
57,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
58,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
59,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
60,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
61,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
62,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
63,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
64,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
65,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
66,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
67,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
68,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
69,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
70,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
71,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
72,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
73,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
74,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
75,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
76,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
77,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,4,25,"ConstraintPropagation:10|Cost:5|Performance:5|Reliability:5",1.332179070,4,5
