depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us
53,0.032121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
54,0.022121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
55,0.012121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
56,0.002121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
57,0.000000000,-0.002121342,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
58,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
59,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
60,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
61,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
62,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
63,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
64,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
65,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
66,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
67,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
68,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
69,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
70,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
71,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
72,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
73,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
74,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
75,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
76,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
77,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
78,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
79,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
80,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
81,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
82,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
83,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
84,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
85,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
86,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
87,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
88,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
89,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
90,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
91,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
92,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
93,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
94,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
95,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
96,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
97,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
98,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
99,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
100,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
